"Ссылка","Описание источника","Категория"
http://pokolenia.permkrai.ru/,"Пермская область (см. там же населённые пункты и карты Пермской области)","Источники"
http://www.lvva-raduraksti.lv/,"Латвия","Источники"
http://www.sukuhistoria.fi/,"Финляндия","Источники"
http://www.ra.ee/dgs/,"Эстония","Источники"
http://elib.shpl.ru/,"Государственная Публичная Историческая библиотека России","Источники"
http://book-old.ru/,"Библиотека Царское Село","Источники"
http://retromap.ru/,"Ретрокарты","Источники"
http://oldmoscowmaps.ru/,"Старые карты Москвы","Источники"
https://pastvu.com/,"Старые фотографии Москвы","Источники"
http://maps.litera-ru.ru/,"Литера Ру","Источники"
http://officers.wardoc.ru/,"Офицеры 1812 года","Источники"
http://www.winterwar.karelia.ru/,"Зимняя война. Безвозвратные потери Красной Армии в период Советско-финляндской войны 1939-1940 гг.","Источники"
http://www.patriot-izdat.ru/memory/,"Книга памяти советско-финляндской войны","Источники"
http://*.narc.fi/,"Архив Финляндии","Источники"
http://gwar.elar.ru/,"Портал, посвященный героям Первой мировой войны 1914 — 1918","Источники"
http://kdkv.narod.ru/,"Георгиевские кавалеры","Источники"
http://medalirus.ru/georgievskie-kavalery/,"Списки Георгиевских кавалеров 1914-1918","Источники"
http://www.history-ryazan.ru/,"Георгиевские кавалеры нижние чины, награжденные за отличие в 1-й Мировой войне","Источники"
http://interbrigades.inforost.org/,"Интербригады Республиканской армии Испании","Источники"
http://wwii.germandocsinrussia.org/,"Германские документы Первой мировой войны","Источники"
http://www.dokst.ru/,"Центр документации (ЦД) – научно-исследовательcкое учреждение при Объединении Саксонские мемориалы в память жертвам политического террора, г. Дрезден.","Источники"
http://*.arkivverket.no/,"Архив Норвегии","Источники"
http://www.obd-memorial.ru/,"Великая Отечественная война 1941-1945 (ОБД Мемориал)","Источники"
http://www.podvignaroda.mil.ru/,"Портал Подвиг народа в Великой Отечественной войне 1941-1945 гг.","Источники"
http://germandocsinrussia.org/,"Российско-Германский проект по оцифровке германских документов в архивах Российской Федерации","Источники"
http://www.warheroes.ru/,"Список Героев Советского Союза","Источники"
http://*.mil.ru/," Министерство обороны Российской Федерации (Минобороны России)","Источники"
https://pamyat-naroda.ru/,"Память народа 1941-1945","Источники"
http://militera.org/,"Военная литература","Источники"
http://oldgazette.ru/,"Старые газеты","Источники"
http://www.warheroes.ru/,"Герои страны","Источники"
http://iremember.ru/,"Воспоминания ветеранов Великой Отечественной Войны","Источники"
http://memorybook.volgadmin.ru/,"Волгоградская область","Источники"
http://may1945-pobeda.narod.ru/,"Калининградская область","Источники"
http://pobeda.onego.ru/,"Республика Карелия","Источники"
http://obd-pobeda.karelia.ru/,"Республика Карелия","Источники"
http://memobook.midural.ru/,"Свердловская область","Источники"
http://www.history.tver.ru/,"Тверь и Тверская область","Источники"
http://www.memory-book.com.ua/,"Украина","Источники"
http://memory.dag.com.ua/,"Украина","Источники"
http://kluchnik-v.narod.ru/,"Ярославская область","Источники"
http://www.afgan.ru/memoryafgan/,"Война в Афганистане","Источники"
http://old.v-ipc.ru/,"Сводная база данных о воинах, погибших и пропавших без вести в годы Великой Отечественной войны","Источники"
http://afgan-memorial.org/,"Мемориал воинов-афганцев","Источники"
http://*.nlr.ru/,"Книги Памяти России","Источники"
http://*.memo.ru/,"«Мемориал» – это движение, основной задачей которого изначально было сохранение памяти о политических репрессиях в недавнем прошлом нашей страны.","Источники"
http://altapress.ru/tom2/,"Алтайский край","Источники"
http://memory.irk.ru/,"Восточная Сибирь и город Иркутск","Источники"
http://pobeda.onego.ru/,"Карелия","Источники"
http://kerchbook.ru/,"Керчь","Источники"
http://www.kislovodsk-kurort.org/images/stories/docum/kniga_pamyati/,"Кисловодск","Источники"
http://region.krasu.ru/veterans,"Красноярск","Источники"
http://www.memorial.krsk.ru/,"Красноярский край","Источники"
http://kubanmemo.ru/bookmemo/,"Кубань","Источники"
http://lenww2.ru/,"Ленинградская область","Источники"
http://memorial-katyn.ru/en/martirolog.html,"Смоленск","Источники"
http://www.memory-book.com.ua/,"Украина","Источники"
http://www.reabit.org.ua/nbr/,"Украина","Источники"
http://www.reabit.org.ua/books/,"Украина","Источники"
http://kluchnik-v.narod.ru/,"Ярославская область","Источники"
http://www.memorial.yaroslavl.ru/,"Ярославль","Источники"
http://skorbim.com/,"Поиск могил","Источники"
http://www.findagrave.com/,"Find a grave","Источники"
http://www.moscow-tombs.ru/,"Захоронения известных людей на кладбищах Москвы и Подмосковья","Источники"
http://billiongraves.com/,"Billion graves","Источники"
