"Ссылка","Описание источника","Категория"
http://digi.narc.fi/digi/view.ka?kuid=4925743,"Национальный архив Финляндии","Источники"
http://edoclib.gasrb.ru/,"Архив Башкортостана","Источники"
http://92.244.225.225:8082/,"Архив Воронежской области ","Источники"
http://cgaso.regsamarh.ru/,"Архив Самарской области","Источники"
https://spbarchives.ru/,"Архив Санкт-Петербурга","Источники"
http://dostup.memo.ru/,"Архивы «Личное дело каждого»","Источники"
https://www.memo.ru/,"Базы данных «Мемориал»","Источники"
https://en.wikipedia.org/wiki/Wikipedia:List_of_online_newspaper_archives,"Список онлайн архивов газет","Источники"
https://drive.google.com/drive/folders/0B5haFpvgzsyhWXVXQXlhdDJtXzA,"","Источники"
http://census1710.narod.ru/,"Перепись 1710 года","Источники"
http://uralarchives.ru/,"Архивы Свердловской области","Источники"
http://historic.ru/,"Всемирная История","Источники"
http://rodstvo.ru/,"Родство","Сообщество"
http://ordenrf.ru/,"","Награды России","Источники"
https://rodnaya-vyatka.ru/kniga-pamyati/districts,"Книга Памяти Кировской области","Источники"
http://www.warheroes.ru/,"Герои Страны","Источники"
http://podvignaroda.ru/,"Подвиг Народа","Источники"
http://www.archive.perm.ru/,"Госархив Пермского края","Источники"
http://personalhistory.ru/db/db.php,"Базы данных «Персональная история русскоязычного мира»","Источники"
